Air Transport Movements year;Air Transport Movements month;Air Transport Movements europe;Air Transport Movements intercontinental;Air Transport Movements total;Passengers europe;Passengers intercontinental;Passengers total;Passengers o&d;Passengers transfer;Passengers total;Passengers scheduled;Passengers non scheduled;Passengers transit direct;Passengers total;Cargo (tonnes);Mail (tonnes)
1992;January;14.716;2.955;17.671;726.163;423.659;1.149.822;739.774;410.048;1.149.822;1.051.816;98.006;35.052;1.184.874;50.457;2.166
1992;February;14.030;2.779;16.809;719.055;367.924;1.086.979;728.823;358.156;1.086.979;997.218;89.761;30.491;1.117.470;56.180;2.154
1992;March;15.454;2.998;18.452;847.487;429.187;1.276.674;866.246;410.428;1.276.674;1.160.363;116.311;32.161;1.308.835;64.284;2.242
1992;April;16.649;3.011;19.660;1.056.108;466.414;1.522.522;1.065.468;457.054;1.522.522;1.307.113;215.409;32.640;1.555.162;56.924;2.252
1992;May;17.591;3.167;20.758;1.223.278;518.839;1.742.117;1.276.443;465.674;1.742.117;1.411.578;330.539;34.620;1.776.737;58.328;2.232
1992;June;17.472;3.137;20.609;1.201.846;535.429;1.737.275;1.219.877;517.398;1.737.275;1.398.283;338.992;37.386;1.774.661;53.453;2.166
1992;July;18.575;3.420;21.995;1.340.419;639.481;1.979.900;1.412.898;567.002;1.979.900;1.520.926;458.974;43.290;2.023.190;56.186;2.333
1992;August;18.314;3.511;21.825;1.398.556;662.480;2.061.036;1.483.508;577.528;2.061.036;1.518.283;542.753;44.748;2.105.784;51.319;2.055
1992;September;17.791;3.262;21.053;1.292.031;575.912;1.867.943;1.331.429;536.514;1.867.943;1.463.394;404.549;41.108;1.909.051;53.548;2.306
1992;October;17.753;3.285;21.038;1.158.699;549.053;1.707.752;1.192.786;514.966;1.707.752;1.412.656;295.096;36.049;1.743.801;60.723;2.558
1992;November;16.653;3.336;19.989;846.584;452.172;1.298.756;844.596;454.160;1.298.756;1.196.059;102.697;29.878;1.328.634;67.931;2.732
1992;December;15.568;3.385;18.953;817.995;463.819;1.281.814;803.326;478.488;1.281.814;1.180.317;101.497;35.051;1.316.865;65.707;3.604
1992;Total;200.566;38.246;238.812;12.628.221;6.084.369;18.712.590;12.965.174;5.747.416;18.712.590;15.618.006;3.094.584;432.474;19.145.064;695.040;28.799
1993;January;16.486;3.312;19.798;803.529;477.622;1.281.151;776.505;504.646;1.281.151;1.172.230;108.921;37.577;1.318.728;56.034;2.505
1993;February;14.685;2.943;17.628;771.519;393.457;1.164.976;736.274;428.702;1.164.976;1.066.455;98.521;27.577;1.192.553;60.097;2.413
1993;March;17.152;3.361;20.513;964.825;489.504;1.454.329;904.977;549.352;1.454.329;1.329.503;124.826;37.403;1.491.732;71.103;2.735
1993;April;18.017;3.411;21.428;1.118.817;526.471;1.645.288;1.022.580;622.708;1.645.288;1.459.459;185.829;42.149;1.687.437;65.193;2.627
1993;May;19.088;3.514;22.602;1.269.237;548.506;1.817.743;1.166.889;650.854;1.817.743;1.524.030;293.713;42.395;1.860.138;65.014;2.629
1993;June;18.747;3.532;22.279;1.292.998;602.787;1.895.785;1.172.007;723.778;1.895.785;1.591.041;304.744;46.045;1.941.830;59.788;2.548
1993;July;20.245;3.872;24.117;1.487.622;748.689;2.236.311;1.424.025;812.286;2.236.311;1.761.511;474.800;53.257;2.289.568;60.521;2.650
1993;August;20.209;3.892;24.101;1.526.835;769.116;2.295.951;1.485.493;810.458;2.295.951;1.771.478;524.473;51.182;2.347.133;56.287;2.427
1993;September;19.295;3.682;22.977;1.423.636;663.679;2.087.315;1.358.289;729.026;2.087.315;1.686.169;401.146;47.650;2.134.965;61.017;2.733
1993;October;19.150;3.829;22.979;1.343.259;637.632;1.980.891;1.286.421;694.470;1.980.891;1.664.633;316.258;42.748;2.023.639;71.215;3.074
1993;November;17.145;3.636;20.781;962.921;502.525;1.465.446;910.868;554.578;1.465.446;1.345.245;120.201;34.740;1.500.186;72.942;3.001
1993;December;16.653;3.819;20.472;919.326;525.700;1.445.026;850.248;594.778;1.445.026;1.344.184;100.842;41.334;1.486.360;76.168;4.247
1993;Total;216.872;42.803;259.675;13.884.524;6.885.688;20.770.212;13.094.576;7.675.636;20.770.212;17.715.938;3.054.274;504.057;21.274.269;775.378;33.589
1994;January;17.398;3.695;21.093;929.842;558.278;1.488.120;863.976;624.144;1.488.120;1.369.107;119.013;41.210;1.529.330;64.601;2.670
1994;February;15.958;3.247;19.205;885.022;453.311;1.338.333;814.931;523.402;1.338.333;1.220.768;117.565;27.131;1.365.464;68.354;2.577
1994;March;18.305;3.726;22.031;1.133.628;582.161;1.715.789;1.027.187;688.602;1.715.789;1.569.485;146.304;39.092;1.754.881;76.897;2.994
1994;April;18.702;3.702;22.404;1.227.239;578.851;1.806.090;1.120.310;685.780;1.806.090;1.615.375;190.715;35.079;1.841.169;67.043;2.697
1994;May;20.356;3.785;24.141;1.456.056;627.260;2.083.316;1.374.826;708.490;2.083.316;1.731.411;351.905;40.767;2.124.083;65.909;2.696
1994;June;19.789;3.753;23.542;1.417.042;675.236;2.092.278;1.333.856;758.422;2.092.278;1.745.450;346.828;45.151;2.137.429;63.818;2.784
