ranking;ranking_2020;airline;total;compared_to_2020_%
1;1;KLM;148607;0,214
2;2;Transavia;18742;0,296
3;3;easyJet;11885;0,001
4;8;TUI fly;5527;1,3
5;5;Delta Air Lines;5308;0,175
6;4;Air France;5160;0,031
7;10;Turkish Airlines;4478;0,955
8;15;Vueling;3892;1,281
9;9;Emirates;2868;0,246
10;7;Lufthansa;2655;-0,186
11;37;Corendon;2293;2,124
12;14;airBaltic;2063;0,209
13;21;Airbridge Cargo;1868;0,219
14;19;DHL International;1784;0,136
15;13;Qatar Airways;1738;-0,029
16;6;British Airways;1647;-0,526
17;31;Pegasus;1622;0,818
18;12;China Southern;1506;-0,225
19;24;Singapore Airlines;1426;0,15
20;20;Ryanair;1400;-0,098
21;27;Austrian;1348;0,265
22;22;Martinair;1311;-0,073
23;28;Etihad Airways;1302;0,302
24;26;TAP Air Portugal;1293;0,206
25;17;SAS;1191;-0,252
26;34;Sun Express;1169;0,555
27;38;American Airlines;1150;0,58
28;30;LOT Polish Airlines;1125;0,192
29;18;United Airlines;1104;-0,299
30;41;Air Europa;1081;0,673
;;Other Airlines;28424;0,076
