,ranking,ranking_2020,country,total_movements,compared_to_2020_%,distance
0,1.0,1.0,USA,15602,0.112,7400.0
1,2.0,2.0,China,5216,-0.134,7616.0
2,3.0,3.0,United Arab Emirates,4529,0.155,5220.0
3,4.0,4.0,Canada,2413,0.238,6363.0
4,5.0,11.0,Morocco,2028,0.549,2430.0
5,6.0,14.0,Curacao,1598,0.484,7843.0
6,7.0,5.0,Brasil,1573,-0.043,8957.0
7,8.0,10.0,South Africa,1569,0.132,9387.0
8,9.0,8.0,Qatar,1498,-0.012,4875.0
9,10.0,6.0,Singapore,1491,-0.064,10500.0
10,11.0,15.0,Mexico,1443,0.35,9072.0
11,12.0,9.0,Japan,1410,0.0006,9291.0
12,13.0,7.0,Hong Kong,1308,-0.154,9267.0
13,14.0,13.0,Taiwan,1281,0.086,9518.0
14,15.0,12.0,South Korea,1273,-0.014,8750.0
15,16.0,17.0,Kenya,1216,0.194,6485.0
16,17.0,20.0,Israel,1107,0.401,3345.0
17,18.0,19.0,Colombia,1061,0.3,8851.0
18,19.0,18.0,Egypt,959,0.106,3508.0
19,20.0,16.0,India,810,-0.239,7021.0
20,,,Rest of Intercontinental,12282,0.299,
21,,,Total of Intercontinental,61667,0.122,
